order_week,Month,Year,adStock_TV,adStock_Digital,adStock_Sponsorship,adStock_Content Marketing,adStock_Online marketing,adStock_ Affiliates,adStock_SEM,adStock_Radio,adStock_Other,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,CoolingPad,GameControlMount,GamePad,GamingAccessoryKit,GamingAdapter,GamingChargingStation,GamingHeadset,GamingKeyboard,GamingMemoryCard,GamingMouse,GamingMousePad,GamingSpeaker,JoystickGamingWheel,MotionController,TVOutCableAccessory
27,7,2015,0.08074882648583291,0.9498801406677448,2.780351150109082,0.0003498365763078274,0.49772909813418686,0.20522019710837236,1.8838865419189132,0.0,0.0,22344.0,24,3.4583333333333335,3.2083333333333335,3504.125,931.0,54.599588092376216,0.31625,24,24,1.0,1.0,0.0,0.0,1.0,1.0,0,0,14,2,0,0,2,1,0,4,1,0,0,0,0
28,7,2015,0.09420696423347173,1.1081934974457024,3.243743008460596,0.0004081426723591319,0.580683947823218,0.23942356329310108,2.197867632238732,0.0,0.0,1866719.0,2767,5.375094339622642,3.2456603773584907,1667.5596226415093,685.1256603773585,54.599588092376216,0.42154339622641507,2650,2650,0.0,0.0,0.0,0.0,0.0,0.0,0,0,861,100,48,0,177,424,36,966,55,0,11,16,73
29,7,2015,0.10093603310729114,1.187350175834681,3.4754389376363526,0.00043729572038478425,0.6221613726677335,0.2565252463854654,2.3548581773986417,0.0,0.0,1585166.3591979076,2704,5.268747466558573,2.72111876773409,1638.086745034455,630.5676364807084,54.599588092376216,0.45122821240372923,2467,2467,0.0,0.0,2.0,1.0,1.0,1.0,0,0,1647,129,44,0,179,162,27,357,48,0,8,11,92
30,7,2015,0.10430056754420085,1.2269285150291704,3.591286902224231,0.00045187224439761036,0.6429000850899913,0.2650760879316476,2.433353449978596,0.0,0.0,1722134.5,2231,5.45925925925926,2.5921296296296297,2139.3449074074074,784.8349537037037,54.599588092376216,0.3980092592592593,2160,2160,0.0,0.0,0.0,0.0,0.0,0.0,0,0,921,166,35,0,283,170,28,448,67,0,9,11,93
31,7,2015,0.1059828347626557,1.246717684626415,3.6492108845181703,0.00045916050640402344,0.6532694413011202,0.2693515087047387,2.4726010862685737,0.0,0.0,1298391.0,1619,5.713093709884467,3.2374839537869065,5311.3973042362,816.8401797175867,54.60304605959806,0.4646469833119384,1558,1558,0.0,0.0,0.0,0.0,1.0,1.0,0,0,611,95,31,0,424,71,11,232,39,1,17,8,79
32,8,2015,0.0276482857079052,0.7761151754876447,1.2676091436874835,0.0001116958539817929,0.20400694217332,0.0917628042071777,1.5312875460264759,0.0,0.0,2295.0,4,7.25,2.25,1918.5,573.75,59.987101024,0.63,4,4,1.0,1.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1
33,8,2015,0.01459252753211345,0.6976814239645164,0.8706755202157023,5.378507857808781e-05,0.12912985898535326,0.06216468679091752,1.374401955986126,0.0,0.0,4875.0,4,6.0,2.5,2583.25,1218.75,59.987101024,0.385,4,4,0.0,0.0,2.0,1.0,1.0,1.0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
34,8,2015,0.008064648444217575,0.6584645482029522,0.6722087084798116,2.4829690876235265e-05,0.09169131739136992,0.04736562808278743,1.2959591609659513,0.0,0.0,598.0,2,2.0,2.5,599.0,299.0,59.987101024,0.505,2,2,0.0,0.0,1.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
35,8,2015,0.004800708900269637,0.6388561103221702,0.5729753026118665,1.0351997025308992e-05,0.07297204659437823,0.039966098728722387,1.256737763455864,0.0,0.0,2303.0,4,6.0,3.25,1035.75,575.75,59.987101024,0.45000000000000007,4,4,0.0,0.0,3.0,1.0,0.0,0.0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
36,9,2015,1.1646055467365435,0.5567325393511078,18.960904584488688,0.18308836575547216,4.9291428100982415,1.5201147061928484,2.1551987766089424,0.0,0.0,1656669.5,2615,5.183926429428229,2.7357057177129147,1533.374650139944,647.8922431027589,46.97764452627533,0.4050659736105558,2501,2501,0.0,0.0,0.0,0.0,1.0,1.0,0,0,1444,115,31,0,353,78,9,373,50,0,21,12,129
37,9,2015,1.3581783480045846,0.5446793140126626,22.033828915290485,0.21360257452303422,5.740064543248634,1.7674227682163748,2.3082107285936297,0.0,0.0,1654831.0,2383,5.576973397296118,2.7570867858700394,1917.6109899694723,709.5521151330136,46.925418687263985,0.4015787178368949,2293,2293,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1021,135,22,0,364,61,125,362,36,0,27,6,224
38,9,2015,1.4549647486386053,0.53865270134344,23.570291080691383,0.22885967890681524,6.145525409823831,1.891076799228138,2.3847167045859727,0.0,0.0,1745502.0011779058,2371,5.870557261956999,2.843791136463361,2383.5116279069766,751.5739362071956,46.925418687263985,0.4178806494076349,2279,2279,0.0,0.0,0.0,0.0,1.0,1.0,0,0,954,132,35,0,381,59,86,348,57,0,29,14,276
39,9,2015,1.5033579489556157,0.5356393950088287,24.338522163391836,0.23648823109870576,6.3482558431114295,1.9529038147340196,2.4229696925821447,0.0,0.0,1719141.0,2454,5.977186311787072,2.6983523447401776,2414.9429657794676,711.7013096746937,46.925418687263985,0.43049852133502325,2367,2367,0.0,0.0,0.0,0.0,0.0,0.0,0,0,926,186,37,0,622,56,44,336,49,1,27,9,161
40,9,2015,1.5275545491141207,0.534132741841523,24.72263770474206,0.24030250719465102,6.449621059755229,1.9838173224869604,2.4420961865802306,0.0,0.0,1670520.0,2333,5.922671353251318,2.789982425307557,2429.0017574692442,722.9600175746924,45.50535231888553,0.41524165202108965,2276,2276,0.0,0.0,0.0,0.0,1.0,1.0,0,0,868,157,47,0,493,47,28,465,35,0,44,6,143
41,10,2015,2.6679701246301315,4.860604374765028,37.63854163300594,1.3487429164223934,10.675040713234832,3.087479123201218,12.554080740180328,0.0,0.0,1495352.0,2169,5.56563245823389,2.5809069212410503,1866.7193317422434,699.5799522673032,44.3983889339963,0.3892458233890215,2095,2095,0.0,0.0,1.0,1.0,0.0,0.0,0,0,824,171,53,0,316,51,29,532,35,0,26,5,127
42,10,2015,2.858039387216133,5.581682980252279,39.791192287716584,1.533482984627017,11.3792773221481,3.2714227566535943,14.239411499113675,0.0,0.0,6077830.560090643,11025,5.230537796163971,3.549642722828131,4827.632850695751,559.9741267482302,44.3983889339963,0.5394687852576157,10636,10636,1.0,1.0,4.0,1.0,1.0,1.0,2,0,1965,281,100,0,3335,458,92,4238,241,5,70,14,224
43,10,2015,2.9530740185091338,5.942222282995905,40.86751761507191,1.625853018729329,11.731395626604733,3.3633945733797823,15.082076878580352,0.0,0.0,1692106.5666765815,2549,6.1478505423865,2.5395741261550824,1484.2944957814384,671.5447622881946,44.3983889339963,0.4157010847730012,2489,2489,0.0,0.0,0.0,0.0,0.0,0.0,0,0,782,151,73,0,712,56,56,536,32,3,15,9,124
44,11,2015,2.279060826057077,1.8673628939327782,14.968024425769134,0.44374744784619896,10.103628508586656,3.2676512747949458,5.489042177901172,0.0,0.0,2216882.961978789,3640,5.801650540694365,2.1960728514513375,1616.6770062606715,618.2558031860437,44.736731636660984,0.45954467842914054,3514,3514,1.0,1.0,0.0,0.0,1.0,1.0,0,0,1030,200,62,0,1287,76,33,720,51,1,18,6,156
45,11,2015,2.1825643991972346,1.2483095462128613,10.830829782111225,0.26212485838272925,9.891020372993083,3.267022694485171,4.030647291032421,0.0,0.0,2574596.7092801854,4442,5.131491973559962,2.392823418319169,1397.0892351274788,596.3023863344511,46.99999999999999,0.47202549575070823,4236,4236,0.0,0.0,2.0,1.0,0.0,0.0,1,0,1172,213,51,0,1032,88,42,1660,38,3,18,3,121
46,11,2015,2.1224368568556877,0.8937154595099497,8.627691794362855,0.1597673093882054,9.740701517139216,3.25521192723951,3.196116675164712,0.0,0.0,2118999.5,3447,6.088888888888889,2.3582222222222224,1526.5555555555557,621.086962962963,46.99999999999999,0.4324977777777778,3375,3375,1.0,1.0,4.0,1.0,1.0,1.0,0,0,1010,216,65,0,1138,52,52,716,51,0,11,6,130
47,11,2015,2.0923730856849145,0.7164184161584939,7.52612280048867,0.10858853489094349,9.665542089212284,3.2493065436166795,2.7788513672308572,0.0,0.0,1713393.0,2512,5.726272912423625,2.4973523421588593,1726.756415478615,687.742566191446,46.99999999999999,0.43309164969450104,2455,2455,0.0,0.0,0.0,0.0,0.0,0.0,1,0,724,185,65,2,812,56,88,393,43,1,14,6,122
48,11,2015,2.0773412000995277,0.627769894482766,6.9753383035515775,0.08299914764231253,9.627962375248817,3.2463538518052646,2.57021871326393,0.0,0.0,2324538.0,3754,5.86232481450948,2.6073097004671615,1777.7219016213246,627.6367133827974,46.99999999999999,0.4591316295685628,3639,3639,0.0,0.0,0.0,0.0,0.0,0.0,1,0,994,196,73,0,1115,76,103,977,60,2,18,9,130
49,12,2015,2.11385571496349,1.0684770305197597,18.67242043531821,0.33995376162945296,9.043498662408723,2.8210227743678287,3.9662659657183257,0.0,0.0,2279047.0,3532,6.075700664547819,2.5171915631320427,1580.6810170470962,650.5290378503323,45.98064143311182,0.42856399884426466,3461,3461,0.0,0.0,0.0,0.0,1.0,1.0,0,0,861,209,77,0,1229,67,200,651,66,3,20,10,139
50,12,2015,2.1199414674408166,1.1419282198592589,20.621934123945984,0.38277953062730974,8.94608804360204,2.7501342614615893,4.198940507794059,0.0,0.0,2509015.500185254,3999,5.517161290322581,2.6921290322580647,1710.308129032258,636.9165161768398,45.8,0.4625858064516129,3875,3875,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1131,222,49,2,1144,96,233,795,108,9,17,7,186
51,12,2015,2.12298434367948,1.1786538145290082,21.59669096825987,0.40419241512623805,8.8973827341987,2.7146900050084697,4.315277778831925,0.0,0.0,2119428.0,3488,6.477938999111638,2.5753627480011847,1554.814332247557,618.608972460764,45.79999999999999,0.4725199881551673,3377,3377,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1017,151,45,2,1157,77,240,570,69,10,28,3,118
52,12,2015,2.1245057817988124,1.197016611863883,22.084069390416815,0.41489885737570226,8.87303007949703,2.69696787678191,4.373446414350858,0.0,0.0,3282222.0,5570,5.755439836339966,2.592337734796355,1642.9135205504929,599.2168185481372,45.8,0.5310451924865166,5377,5377,2.0,1.0,3.0,1.0,0.0,0.0,1,0,1204,203,58,5,2127,89,609,1014,90,13,26,14,117
53,1,2016,2.148515833537733,0.4581900025074573,6.891133000356022,0.4375600186905797,10.697227083844329,3.403775431587767,2.623221602883412,1.0125000000000002,10.158750000000008,2317744.0,3884,5.951394422310757,2.6108897742363877,2329.9309428950864,606.336786188579,46.388303495294195,0.500332005312085,3765,3765,1.0,1.0,6.0,1.0,1.0,1.0,1,0,975,177,52,7,1468,85,273,590,69,20,24,5,138
54,1,2016,2.152390722317608,0.3335220011701468,4.318362066832811,0.4404446753889373,11.003289305794018,3.5230535347409564,2.3266700813455934,1.1812500000000001,11.85187500000001,2458478.0,4218,5.922702965483714,2.673310646572679,2466.4752066115702,589.4822557122022,47.09303132503366,0.48754010695187167,4114,4114,0.0,0.0,0.0,0.0,0.0,0.0,3,0,968,148,61,1,1684,87,313,679,68,26,30,10,140
55,1,2016,2.154328166707546,0.27118800050149156,3.031976600071206,0.44188700373811607,11.156320416768864,3.5826925863175516,2.1783943205766843,1.265625,12.698437500000011,2285386.0,3772,5.899809937550909,2.5938093945153406,2218.8794461037196,612.0428998099376,47.09303132503366,0.46126255769752916,3683,3683,0.0,0.0,0.0,0.0,1.0,1.0,3,0,717,149,58,4,1540,89,365,639,75,10,33,2,88
56,1,2016,2.155296888902515,0.24002100016716393,2.388783866690403,0.4426081679127055,11.232835972256286,3.6125121121058488,2.1042564401922292,1.3078125000000003,13.121718750000012,3466792.0412541134,5170,5.966440271673991,2.7149420695165802,2267.556731921694,676.8779755630718,47.09303132503366,0.4697642828605673,5006,5006,0.0,0.0,3.0,1.0,0.0,0.0,1,0,1314,172,50,3,1822,152,457,926,106,13,24,2,128
57,1,2016,2.1557812499999995,0.22443750000000012,2.067187500000002,0.4429687500000002,11.271093749999995,3.627421874999998,2.067187500000002,1.3289062500000002,13.333359375000011,2087581.0,3327,6.114391143911439,2.6555965559655594,1472.4366543665437,630.9238929889299,47.09303132503366,0.45274600246002455,3252,3252,0.0,0.0,0.0,0.0,0.0,0.0,1,0,847,114,49,3,1161,106,278,536,79,13,21,4,115
58,2,2016,1.4830341064331845,0.7706816318926976,4.889270740188775,0.3292578707153503,10.143231107178345,3.2880540160829614,2.319798652508696,0.31640625000000006,3.174609375000003,2392524.850916752,4038,5.944571573862191,2.528604118993135,1279.2562929061785,597.9419148021236,50.32740649908032,0.4605263157894737,3933,3933,0.0,0.0,2.0,1.0,1.0,1.0,0,0,866,135,58,2,1599,113,262,719,89,20,14,7,154
59,2,2016,1.3709095825053819,0.8617223205414805,5.359617946886903,0.310306057501242,9.955254000041403,3.231492706263456,2.3619005112601448,0.14765625000000002,1.4814843750000013,2293901.8002754822,3991,5.670177241202158,2.562291292062677,1586.3647572566144,579.4332049684431,50.32740649908032,0.48648343180066783,3893,3893,1.0,1.0,1.0,1.0,0.0,0.0,0,0,790,134,47,4,1946,92,190,558,74,8,4,13,131
60,2,2016,1.3148473205414808,0.907242664865872,5.594791550235968,0.30083015089418785,9.861265446472931,3.2032120513537023,2.3829514406358694,0.06328125000000001,0.6349218750000005,2944187.8260033275,5619,5.46917183509668,2.731849689894199,1741.0293688434879,527.0260748638271,50.327406499080325,0.5156840569135352,5482,5482,1.0,1.0,3.0,1.0,1.0,1.0,2,0,879,123,48,4,2484,137,304,1362,125,5,1,5,140
61,2,2016,1.28681618955953,0.9300028370280677,5.7123783519105,0.29609219759066074,9.814271169688697,3.1890717238988264,2.393476905323732,0.02109375,0.2116406250000002,2543453.100348872,4880,6.042767295597485,2.506289308176101,1305.3874213836477,523.9499581444177,50.32740649908032,0.5116771488469601,4770,4770,0.0,0.0,0.0,0.0,0.0,0.0,0,0,860,148,47,1,2635,120,143,652,86,3,10,11,164
62,3,2016,3.0930477676353707,0.8541387912164686,13.851088512558992,0.180934100223547,7.862482157989202,2.6229194190884266,2.1292059045138068,0.261,4.783663525552077,2617458.2519998252,4792,5.88957578341505,2.397569814538478,1125.7128544020466,550.1074221794025,49.191882005307946,0.4941782136005116,4691,4691,0.0,0.0,0.0,0.0,1.0,1.0,0,0,904,147,57,2,2555,121,69,673,77,5,12,1,169
63,3,2016,3.396422291563173,0.8395981025676857,15.197741305860863,0.16213591343765532,7.541100179104639,2.5297390622412665,2.0842836156548312,0.3045,5.580940779810756,3309281.3965125675,5312,5.363601310969732,2.5760555234239444,1227.4289570079043,626.4521596708495,49.02055041461363,0.4892153460574513,5187,5187,0.0,0.0,3.0,1.0,0.0,0.0,0,0,1311,181,76,1,2234,166,34,1002,114,6,10,11,166
64,3,2016,3.548109553527074,0.8323277582432943,15.871067702511798,0.15273682004470945,7.380409189662357,2.4831488838176865,2.0618224712253435,0.32625,5.979579406940097,2054715.2505629165,3186,5.813564770170363,2.5670202507232402,1193.1710061073609,650.2318388180381,49.02055041461363,0.4305914496946319,3111,3111,1.0,1.0,0.0,0.0,1.0,1.0,0,0,983,212,80,0,898,136,43,550,56,8,32,9,179
65,3,2016,3.6239531845090247,0.8286925860810986,16.207730900837266,0.14803727334823652,7.300063694941216,2.4598537946058965,2.050591899010599,0.337125,6.178898720504766,1991181.0021336668,3049,5.999327052489906,2.5555181695827724,1218.5386944818304,659.5984188126589,49.02055041461362,0.42930349932705253,2972,2972,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1011,182,88,1,831,117,55,517,40,4,27,7,168
66,4,2016,2.8238235956953273,0.5238345637680618,13.014695137853558,0.047765882550722484,7.921486561040538,2.717952201405442,2.069383482185806,0.0815625,1.494894851735024,2101729.5,3207,5.86784,2.48032,1236.90016,661.19536,50.25924747047889,0.43690239999999997,3125,3125,1.0,1.0,0.0,0.0,1.0,1.0,5,0,948,199,87,2,979,94,48,544,71,7,55,9,159
67,4,2016,2.6841483616445485,0.473327824396072,12.454467244162483,0.03144561297584288,8.031752496617187,2.7629098599730155,2.0734512937329024,0.0380625,0.6976175974763446,2226294.5018397453,3176,6.110895570643389,2.5263498221791143,1313.7882314904623,709.1104108704284,51.82760501909438,0.4320142256708697,3093,3093,1.0,1.0,0.0,0.0,0.0,0.0,0,0,980,186,68,0,925,167,46,522,64,10,59,11,138
68,4,2016,2.614310744619159,0.4480744547100771,12.174353297316948,0.023285478188403083,8.086885464405512,2.785388689256802,2.075485199506451,0.0163125,0.2989789703470048,1911753.0,2837,5.9335740072202166,2.5064981949458485,1307.6610108303248,680.3087845968712,51.82760501909438,0.4540469314079423,2770,2770,0.0,0.0,0.0,0.0,1.0,1.0,2,0,870,123,86,0,780,189,17,451,81,11,48,4,175
69,4,2016,2.5793919361064646,0.43544776986707967,12.034296323894178,0.019205410794683183,8.114451948299674,2.7966281038986955,2.0765021523932248,0.0054375,0.09965965678233495,1205070.0,1897,4.591256830601093,2.2825136612021857,1259.4590163934427,644.3633879781421,51.82760501909438,0.464983606557377,1830,1830,0.0,0.0,0.0,0.0,0.0,0.0,1,0,471,66,30,0,437,87,27,646,32,1,42,1,56
70,4,2016,2.5619325318501174,0.42913442744558095,11.964267837182796,0.017165377097823235,8.128235190246755,2.802247811219642,2.0770106288366117,0.0,0.0,3775768.0,6083,6.39872247436544,2.372499579761304,1297.7818120692552,626.4369641956631,51.45601320456295,0.473688014792402,5949,5949,0.0,0.0,0.0,0.0,1.0,1.0,4,0,1705,294,116,0,2295,190,64,897,112,25,131,17,233
71,5,2016,1.1237339361547898,0.3909248636775191,14.728635199329243,0.300336994547101,10.804044092915891,3.2172018598142014,3.0857763401991916,0.41250000000000003,1.8701250000000034,2280435.0,3527,5.827596181660399,2.3638993346832513,1457.387330054961,650.0740526468036,47.306951226359324,0.4726583743129881,3457,3457,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1016,186,85,0,1254,81,28,542,75,12,121,15,111
72,5,2016,0.8840341702055686,0.3845566030495088,15.189363093020319,0.3475322641219806,11.250012243360748,3.2863608679132943,3.2539039587596212,0.48125000000000007,2.181812500000004,2481971.0,4336,5.646502835538753,2.2270793950850662,1294.5640359168242,575.5508034026465,47.306951226359324,0.5105718336483931,4232,4232,1.0,1.0,0.0,0.0,1.0,1.0,1,0,988,181,81,0,1944,112,53,606,81,26,145,11,107
73,5,2016,0.7641842872309579,0.38137247273550356,15.419727039865855,0.37112989890942044,11.472996318583178,3.320940371962841,3.337967768039836,0.515625,2.337656250000004,2512250.2502639918,4383,5.631936314680403,2.1261999531725593,1340.6249121985484,579.8554788723933,47.306951226359324,0.5200163896043081,4271,4271,1.0,1.0,0.0,0.0,0.0,0.0,6,0,923,199,106,0,1990,115,59,616,67,32,114,17,139
74,5,2016,0.7042593457436527,0.379780407578501,15.534909013288623,0.38292871630314035,11.584488356194392,3.338230123987614,3.3799996726799435,0.5328125000000001,2.415578125000004,3597445.326656575,5206,5.280359234673956,1.9672003123779773,1448.771378367825,694.5992437830096,47.306951226359324,0.4929988285825849,5122,5122,0.0,0.0,3.0,1.0,0.0,0.0,3,0,1427,194,76,0,1722,143,76,1131,28,59,180,20,147
75,6,2016,0.6593619399049895,0.5164625269692672,11.227062232048903,0.10610231256341984,5.162874334865582,1.627281918228737,1.930420418352284,0.12890625000000003,0.584414062500001,2706532.921235198,4162,5.5316424525978825,2.0578675203151935,1301.0137897069687,657.1433353094499,49.60853968229103,0.464902733316917,4061,4061,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1115,218,65,0,1272,122,66,858,58,55,166,6,160
76,6,2016,0.6568727840558211,0.5393755522974785,10.499489270723718,0.05898134382398977,4.083314328176513,1.3406830712668596,1.6853212172443317,0.06015625000000001,0.2727265625000005,2406485.0,3700,5.663231197771588,2.1376044568245125,1289.6264623955433,655.7818477251625,50.516687050376724,0.4653816155988858,3590,3590,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1037,195,68,1,1211,134,84,597,65,34,170,8,95
77,6,2016,0.6556282061312368,0.5508320649615841,10.135702790061128,0.03542085945427473,3.5435343248319784,1.1973836477859208,1.5627716166903556,0.025781250000000002,0.11688281250000021,2258602.0,3498,5.866037179108882,2.1667158453821185,1299.259958689879,651.4074948362348,50.516687050376724,0.46005606373561525,3389,3389,0.0,0.0,0.0,0.0,1.0,1.0,4,0,909,199,65,0,1243,144,53,526,64,6,128,22,135
78,6,2016,0.6550059171689447,0.5565603212936369,9.953809549729831,0.023640617269417213,3.2736443231597114,1.1257339360454515,1.5014968164133675,0.00859375,0.03896093750000007,1974762.250347705,2976,5.7937391304347825,2.188173913043478,1546.695304347826,670.1440870774626,50.516687050376724,0.43887652173913044,2875,2875,2.0,1.0,0.0,0.0,0.0,0.0,0,0,814,169,55,0,1067,128,25,462,41,6,104,9,96
79,6,2016,0.6546947726877987,0.5594244494596633,9.862862929564184,0.017750496176988456,3.1386993223235775,1.0899090801752167,1.4708594162748736,0.0,0.0,1124340.750293772,1619,5.064968152866242,2.2312101910828024,1684.9522292993631,699.8890129259694,50.51668705037673,0.43270700636942677,1570,1570,0.0,0.0,0.0,0.0,0.0,0.0,0,0,410,103,34,0,549,69,8,264,16,8,86,11,61
